Week_end,Indicator,High_industry,Value
2019-07-07,Weekly earnings - lower quartile - 6 days,B Goods Producing,784.02
2019-07-07,Weekly earnings - lower quartile - 6 days,C Services,424.91
2019-07-07,Weekly earnings - lower quartile - 6 days,Z No Match,382.65
2019-07-14,Number of paid jobs - 6 days,Total,768500
2019-07-14,Number of paid jobs - 6 days,A Primary,36130
2019-07-14,Number of paid jobs - 6 days,B Goods Producing,249960
2019-07-14,Number of paid jobs - 6 days,C Services,472290
2019-07-14,Number of paid jobs - 6 days,Z No Match,10120
2019-07-14,Weekly earnings - median - 6 days,Total,864
2019-07-14,Weekly earnings - median - 6 days,A Primary,873.6
2019-07-14,Weekly earnings - median - 6 days,B Goods Producing,1043.76
2019-07-14,Weekly earnings - median - 6 days,C Services,771.75
2019-07-14,Weekly earnings - median - 6 days,Z No Match,624.77
2019-07-14,Weekly earnings - upper quartile - 6 days,Total,1189.46
2019-07-14,Weekly earnings - upper quartile - 6 days,A Primary,1194.23
2019-07-14,Weekly earnings - upper quartile - 6 days,B Goods Producing,1369.5
2019-07-14,Weekly earnings - upper quartile - 6 days,C Services,1060.02
2019-07-14,Weekly earnings - upper quartile - 6 days,Z No Match,960
2019-07-14,Weekly earnings - lower quartile - 6 days,Total,551.57
2019-07-14,Weekly earnings - lower quartile - 6 days,A Primary,586.29
2019-07-14,Weekly earnings - lower quartile - 6 days,B Goods Producing,787.14
2019-07-14,Weekly earnings - lower quartile - 6 days,C Services,430.5
2019-07-14,Weekly earnings - lower quartile - 6 days,Z No Match,337.62
2019-07-21,Number of paid jobs - 6 days,Total,771600
2019-07-21,Number of paid jobs - 6 days,A Primary,36060
2019-07-21,Number of paid jobs - 6 days,B Goods Producing,248050
2019-07-21,Number of paid jobs - 6 days,C Services,474680
2019-07-21,Number of paid jobs - 6 days,Z No Match,12810
2019-07-21,Weekly earnings - median - 6 days,Total,860
2019-07-21,Weekly earnings - median - 6 days,A Primary,846.39
2019-07-21,Weekly earnings - median - 6 days,B Goods Producing,1040
2019-07-21,Weekly earnings - median - 6 days,C Services,772.74
2019-07-21,Weekly earnings - median - 6 days,Z No Match,604.33
2019-07-21,Weekly earnings - upper quartile - 6 days,Total,1186.77
2019-07-21,Weekly earnings - upper quartile - 6 days,A Primary,1161
2019-07-21,Weekly earnings - upper quartile - 6 days,B Goods Producing,1364.5
2019-07-21,Weekly earnings - upper quartile - 6 days,C Services,1061.21
2019-07-21,Weekly earnings - upper quartile - 6 days,Z No Match,920
2019-07-21,Weekly earnings - lower quartile - 6 days,Total,547.07
2019-07-21,Weekly earnings - lower quartile - 6 days,A Primary,560.73
2019-07-21,Weekly earnings - lower quartile - 6 days,B Goods Producing,781.22
2019-07-21,Weekly earnings - lower quartile - 6 days,C Services,430.43
2019-07-21,Weekly earnings - lower quartile - 6 days,Z No Match,360.03
2019-07-28,Number of paid jobs - 6 days,Total,779310
2019-07-28,Number of paid jobs - 6 days,A Primary,35840
2019-07-28,Number of paid jobs - 6 days,B Goods Producing,250750
2019-07-28,Number of paid jobs - 6 days,C Services,479070
2019-07-28,Number of paid jobs - 6 days,Z No Match,13660
2019-07-28,Weekly earnings - median - 6 days,Total,861.44
2019-07-28,Weekly earnings - median - 6 days,A Primary,861.15
2019-07-28,Weekly earnings - median - 6 days,B Goods Producing,1046.5
2019-07-28,Weekly earnings - median - 6 days,C Services,770
2019-07-28,Weekly earnings - median - 6 days,Z No Match,571.43
2019-07-28,Weekly earnings - upper quartile - 6 days,Total,1189.65
2019-07-28,Weekly earnings - upper quartile - 6 days,A Primary,1200
2019-07-28,Weekly earnings - upper quartile - 6 days,B Goods Producing,1377.61
2019-07-28,Weekly earnings - upper quartile - 6 days,C Services,1060
2019-07-28,Weekly earnings - upper quartile - 6 days,Z No Match,900
2019-07-28,Weekly earnings - lower quartile - 6 days,Total,537.94
2019-07-28,Weekly earnings - lower quartile - 6 days,A Primary,572.43
2019-07-28,Weekly earnings - lower quartile - 6 days,B Goods Producing,786
2019-07-28,Weekly earnings - lower quartile - 6 days,C Services,414
2019-07-28,Weekly earnings - lower quartile - 6 days,Z No Match,278.21
2019-08-04,Number of paid jobs - 6 days,Total,781100
2019-08-04,Number of paid jobs - 6 days,A Primary,36030
2019-08-04,Number of paid jobs - 6 days,B Goods Producing,250140
2019-08-04,Number of paid jobs - 6 days,C Services,479850
2019-08-04,Number of paid jobs - 6 days,Z No Match,15080
2019-08-04,Weekly earnings - median - 6 days,Total,860
2019-08-04,Weekly earnings - median - 6 days,A Primary,845
2019-08-04,Weekly earnings - median - 6 days,B Goods Producing,1042.15
2019-08-04,Weekly earnings - median - 6 days,C Services,770
2019-08-04,Weekly earnings - median - 6 days,Z No Match,600
2019-08-04,Weekly earnings - upper quartile - 6 days,Total,1190
2019-08-04,Weekly earnings - upper quartile - 6 days,A Primary,1161.54
2019-08-04,Weekly earnings - upper quartile - 6 days,B Goods Producing,1370.25
2019-08-04,Weekly earnings - upper quartile - 6 days,C Services,1065.75
2019-08-04,Weekly earnings - upper quartile - 6 days,Z No Match,920
2019-08-04,Weekly earnings - lower quartile - 6 days,Total,531.25
2019-08-04,Weekly earnings - lower quartile - 6 days,A Primary,562.27
2019-08-04,Weekly earnings - lower quartile - 6 days,B Goods Producing,784.29
2019-08-04,Weekly earnings - lower quartile - 6 days,C Services,408.63
2019-08-04,Weekly earnings - lower quartile - 6 days,Z No Match,339.3
2019-08-11,Number of paid jobs - 6 days,Total,799670
2019-08-11,Number of paid jobs - 6 days,A Primary,36780
2019-08-11,Number of paid jobs - 6 days,B Goods Producing,249940
2019-08-11,Number of paid jobs - 6 days,C Services,500000
2019-08-11,Number of paid jobs - 6 days,Z No Match,12950
2019-08-11,Weekly earnings - median - 6 days,Total,857.14
2019-08-11,Weekly earnings - median - 6 days,A Primary,872.1
2019-08-11,Weekly earnings - median - 6 days,B Goods Producing,1050
2019-08-11,Weekly earnings - median - 6 days,C Services,766
2019-08-11,Weekly earnings - median - 6 days,Z No Match,451.19
2019-08-11,Weekly earnings - upper quartile - 6 days,Total,1181.14
2019-08-11,Weekly earnings - upper quartile - 6 days,A Primary,1200
2019-08-11,Weekly earnings - upper quartile - 6 days,B Goods Producing,1376
2019-08-11,Weekly earnings - upper quartile - 6 days,C Services,1057.69
2019-08-11,Weekly earnings - upper quartile - 6 days,Z No Match,838.38
2019-08-11,Weekly earnings - lower quartile - 6 days,Total,527.24
2019-08-11,Weekly earnings - lower quartile - 6 days,A Primary,573.31
2019-08-11,Weekly earnings - lower quartile - 6 days,B Goods Producing,793.5
2019-08-11,Weekly earnings - lower quartile - 6 days,C Services,401
2019-08-11,Weekly earnings - lower quartile - 6 days,Z No Match,168.06
2019-08-18,Number of paid jobs - 6 days,Total,799520
2019-08-18,Number of paid jobs - 6 days,A Primary,35880
2019-08-18,Number of paid jobs - 6 days,B Goods Producing,249910
2019-08-18,Number of paid jobs - 6 days,C Services,497180
2019-08-18,Number of paid jobs - 6 days,Z No Match,16550
2019-08-18,Weekly earnings - median - 6 days,Total,858.66
2019-08-18,Weekly earnings - median - 6 days,A Primary,860.25
2019-08-18,Weekly earnings - median - 6 days,B Goods Producing,1052.67
2019-08-18,Weekly earnings - median - 6 days,C Services,768.81
2019-08-18,Weekly earnings - median - 6 days,Z No Match,658.81
2019-08-18,Weekly earnings - upper quartile - 6 days,Total,1180.04
2019-08-18,Weekly earnings - upper quartile - 6 days,A Primary,1179.43
2019-08-18,Weekly earnings - upper quartile - 6 days,B Goods Producing,1378
2019-08-18,Weekly earnings - upper quartile - 6 days,C Services,1057.69
2019-08-18,Weekly earnings - upper quartile - 6 days,Z No Match,940.82
2019-08-18,Weekly earnings - lower quartile - 6 days,Total,533.3
2019-08-18,Weekly earnings - lower quartile - 6 days,A Primary,569.89
2019-08-18,Weekly earnings - lower quartile - 6 days,B Goods Producing,795
2019-08-18,Weekly earnings - lower quartile - 6 days,C Services,407
2019-08-18,Weekly earnings - lower quartile - 6 days,Z No Match,426.54
2019-08-25,Number of paid jobs - 6 days,Total,796980
2019-08-25,Number of paid jobs - 6 days,A Primary,37190
2019-08-25,Number of paid jobs - 6 days,B Goods Producing,252880
2019-08-25,Number of paid jobs - 6 days,C Services,491010
2019-08-25,Number of paid jobs - 6 days,Z No Match,15900
2019-08-25,Weekly earnings - median - 6 days,Total,867.6
2019-08-25,Weekly earnings - median - 6 days,A Primary,879.04
2019-08-25,Weekly earnings - median - 6 days,B Goods Producing,1057.69
2019-08-25,Weekly earnings - median - 6 days,C Services,777
2019-08-25,Weekly earnings - median - 6 days,Z No Match,673
2019-08-25,Weekly earnings - upper quartile - 6 days,Total,1200
2019-08-25,Weekly earnings - upper quartile - 6 days,A Primary,1240
2019-08-25,Weekly earnings - upper quartile - 6 days,B Goods Producing,1385.5
2019-08-25,Weekly earnings - upper quartile - 6 days,C Services,1070.75
2019-08-25,Weekly earnings - upper quartile - 6 days,Z No Match,956.48
2019-08-25,Weekly earnings - lower quartile - 6 days,Total,549.64
2019-08-25,Weekly earnings - lower quartile - 6 days,A Primary,576
2019-08-25,Weekly earnings - lower quartile - 6 days,B Goods Producing,800
2019-08-25,Weekly earnings - lower quartile - 6 days,C Services,415
2019-08-25,Weekly earnings - lower quartile - 6 days,Z No Match,438.08
2019-09-01,Number of paid jobs - 6 days,Total,808180
2019-09-01,Number of paid jobs - 6 days,A Primary,36020
2019-09-01,Number of paid jobs - 6 days,B Goods Producing,251240
2019-09-01,Number of paid jobs - 6 days,C Services,502530
2019-09-01,Number of paid jobs - 6 days,Z No Match,18390
2019-09-01,Weekly earnings - median - 6 days,Total,860
2019-09-01,Weekly earnings - median - 6 days,A Primary,882
2019-09-01,Weekly earnings - median - 6 days,B Goods Producing,1056
2019-09-01,Weekly earnings - median - 6 days,C Services,768
2019-09-01,Weekly earnings - median - 6 days,Z No Match,646.63
2019-09-01,Weekly earnings - upper quartile - 6 days,Total,1188.46
2019-09-01,Weekly earnings - upper quartile - 6 days,A Primary,1230.62
2019-09-01,Weekly earnings - upper quartile - 6 days,B Goods Producing,1386
2019-09-01,Weekly earnings - upper quartile - 6 days,C Services,1058
2019-09-01,Weekly earnings - upper quartile - 6 days,Z No Match,938.85
2019-09-01,Weekly earnings - lower quartile - 6 days,Total,531.8
2019-09-01,Weekly earnings - lower quartile - 6 days,A Primary,575
2019-09-01,Weekly earnings - lower quartile - 6 days,B Goods Producing,796
2019-09-01,Weekly earnings - lower quartile - 6 days,C Services,407
2019-09-01,Weekly earnings - lower quartile - 6 days,Z No Match,389.4
2019-09-08,Number of paid jobs - 6 days,Total,786700
2019-09-08,Number of paid jobs - 6 days,A Primary,35920
2019-09-08,Number of paid jobs - 6 days,B Goods Producing,251530
2019-09-08,Number of paid jobs - 6 days,C Services,482870
2019-09-08,Number of paid jobs - 6 days,Z No Match,16380
2019-09-08,Weekly earnings - median - 6 days,Total,861.53
2019-09-08,Weekly earnings - median - 6 days,A Primary,850
2019-09-08,Weekly earnings - median - 6 days,B Goods Producing,1050
2019-09-08,Weekly earnings - median - 6 days,C Services,770.57
2019-09-08,Weekly earnings - median - 6 days,Z No Match,566.4
2019-09-08,Weekly earnings - upper quartile - 6 days,Total,1192.31
2019-09-08,Weekly earnings - upper quartile - 6 days,A Primary,1214.71
2019-09-08,Weekly earnings - upper quartile - 6 days,B Goods Producing,1377
2019-09-08,Weekly earnings - upper quartile - 6 days,C Services,1065.72
2019-09-08,Weekly earnings - upper quartile - 6 days,Z No Match,864.46
2019-09-08,Weekly earnings - lower quartile - 6 days,Total,532.1
2019-09-08,Weekly earnings - lower quartile - 6 days,A Primary,537.07
2019-09-08,Weekly earnings - lower quartile - 6 days,B Goods Producing,790
2019-09-08,Weekly earnings - lower quartile - 6 days,C Services,410.99
2019-09-08,Weekly earnings - lower quartile - 6 days,Z No Match,215.52
2019-09-15,Number of paid jobs - 6 days,Total,788900
2019-09-15,Number of paid jobs - 6 days,A Primary,33850
2019-09-15,Number of paid jobs - 6 days,B Goods Producing,253160
2019-09-15,Number of paid jobs - 6 days,C Services,487160
2019-09-15,Number of paid jobs - 6 days,Z No Match,14730
2019-09-15,Weekly earnings - median - 6 days,Total,862.67
2019-09-15,Weekly earnings - median - 6 days,A Primary,845.62
2019-09-15,Weekly earnings - median - 6 days,B Goods Producing,1054.14
2019-09-15,Weekly earnings - median - 6 days,C Services,771.43
2019-09-15,Weekly earnings - median - 6 days,Z No Match,485.49
2019-09-15,Weekly earnings - upper quartile - 6 days,Total,1192
2019-09-15,Weekly earnings - upper quartile - 6 days,A Primary,1165
2019-09-15,Weekly earnings - upper quartile - 6 days,B Goods Producing,1382.57
2019-09-15,Weekly earnings - upper quartile - 6 days,C Services,1062.62
2019-09-15,Weekly earnings - upper quartile - 6 days,Z No Match,783.96
2019-09-15,Weekly earnings - lower quartile - 6 days,Total,531
2019-09-15,Weekly earnings - lower quartile - 6 days,A Primary,548.57
2019-09-15,Weekly earnings - lower quartile - 6 days,B Goods Producing,796
2019-09-15,Weekly earnings - lower quartile - 6 days,C Services,409.31
2019-09-15,Weekly earnings - lower quartile - 6 days,Z No Match,260
2019-09-22,Number of paid jobs - 6 days,Total,781470
2019-09-22,Number of paid jobs - 6 days,A Primary,32360
2019-09-22,Number of paid jobs - 6 days,B Goods Producing,251440
2019-09-22,Number of paid jobs - 6 days,C Services,483460
2019-09-22,Number of paid jobs - 6 days,Z No Match,14200
2019-09-22,Weekly earnings - median - 6 days,Total,860
2019-09-22,Weekly earnings - median - 6 days,A Primary,850.5
2019-09-22,Weekly earnings - median - 6 days,B Goods Producing,1056.6
2019-09-22,Weekly earnings - median - 6 days,C Services,768.75
2019-09-22,Weekly earnings - median - 6 days,Z No Match,387.63
2019-09-22,Weekly earnings - upper quartile - 6 days,Total,1192.31
2019-09-22,Weekly earnings - upper quartile - 6 days,A Primary,1170.23
2019-09-22,Weekly earnings - upper quartile - 6 days,B Goods Producing,1387.5
2019-09-22,Weekly earnings - upper quartile - 6 days,C Services,1060
2019-09-22,Weekly earnings - upper quartile - 6 days,Z No Match,700
2019-09-22,Weekly earnings - lower quartile - 6 days,Total,520
2019-09-22,Weekly earnings - lower quartile - 6 days,A Primary,545.67
2019-09-22,Weekly earnings - lower quartile - 6 days,B Goods Producing,791.19
2019-09-22,Weekly earnings - lower quartile - 6 days,C Services,400
2019-09-22,Weekly earnings - lower quartile - 6 days,Z No Match,177.01
2019-09-29,Number of paid jobs - 6 days,Total,782680
2019-09-29,Number of paid jobs - 6 days,A Primary,30930
2019-09-29,Number of paid jobs - 6 days,B Goods Producing,252120
2019-09-29,Number of paid jobs - 6 days,C Services,485080
2019-09-29,Number of paid jobs - 6 days,Z No Match,14550
2019-09-29,Weekly earnings - median - 6 days,Total,864
2019-09-29,Weekly earnings - median - 6 days,A Primary,819.01
2019-09-29,Weekly earnings - median - 6 days,B Goods Producing,1056.2
2019-09-29,Weekly earnings - median - 6 days,C Services,771.99
2019-09-29,Weekly earnings - median - 6 days,Z No Match,645
