Table_Number,Table_name,Table_sub_name,Breakdown,Section,Units,Value,Time_Period
Ripanga 2,Tatauranga o ngā kaimahi - Uepū Māori,Ā-rōpū ahumahi,Ērā atu ahumahi tuatahi,Ngā uepū Māori,Tau,1350,2019
Ripanga 2,Tatauranga o ngā kaimahi - Uepū Māori,Ā-rōpū ahumahi,Ērā atu ahumahi tuatahi,Ngā uepū Māori,Tau,1350,2020
Ripanga 2,Tatauranga o ngā kaimahi - Uepū Māori,Ā-rōpū ahumahi,Ērā atu ahumahi tuatahi,Ngā uepū Māori,Tau,1250,2021
Ripanga 2,Tatauranga o ngā kaimahi - Uepū Māori,Ā-rōpū ahumahi,Ērā atu ahumahi tuatahi,Ngā uepū Māori,Tau,1350,2022
Ripanga 2,Tatauranga o ngā kaimahi - Uepū Māori,Ā-rōpū ahumahi,Ngā kaiwhakahaere rawa ehara i te kāinga noho,Ngā uepū Māori,Tau,350,2017
Ripanga 2,Tatauranga o ngā kaimahi - Uepū Māori,Ā-rōpū ahumahi,Ngā kaiwhakahaere rawa ehara i te kāinga noho,Ngā uepū Māori,Tau,330,2018
Ripanga 2,Tatauranga o ngā kaimahi - Uepū Māori,Ā-rōpū ahumahi,Ngā kaiwhakahaere rawa ehara i te kāinga noho,Ngā uepū Māori,Tau,350,2019
Ripanga 2,Tatauranga o ngā kaimahi - Uepū Māori,Ā-rōpū ahumahi,Ngā kaiwhakahaere rawa ehara i te kāinga noho,Ngā uepū Māori,Tau,380,2020
Ripanga 2,Tatauranga o ngā kaimahi - Uepū Māori,Ā-rōpū ahumahi,Ngā kaiwhakahaere rawa ehara i te kāinga noho,Ngā uepū Māori,Tau,490,2021
Ripanga 2,Tatauranga o ngā kaimahi - Uepū Māori,Ā-rōpū ahumahi,Ngā kaiwhakahaere rawa ehara i te kāinga noho,Ngā uepū Māori,Tau,470,2022
Ripanga 2,Tatauranga o ngā kaimahi - Uepū Māori,Ā-rōpū ahumahi,Ērā ahumahi katoa atu,Ngā uepū Māori,Tau,8100,2017
Ripanga 2,Tatauranga o ngā kaimahi - Uepū Māori,Ā-rōpū ahumahi,Ērā ahumahi katoa atu,Ngā uepū Māori,Tau,8300,2018
Ripanga 2,Tatauranga o ngā kaimahi - Uepū Māori,Ā-rōpū ahumahi,Ērā ahumahi katoa atu,Ngā uepū Māori,Tau,8600,2019
Ripanga 2,Tatauranga o ngā kaimahi - Uepū Māori,Ā-rōpū ahumahi,Ērā ahumahi katoa atu,Ngā uepū Māori,Tau,8900,2020
Ripanga 2,Tatauranga o ngā kaimahi - Uepū Māori,Ā-rōpū ahumahi,Ērā ahumahi katoa atu,Ngā uepū Māori,Tau,7000,2021
Ripanga 2,Tatauranga o ngā kaimahi - Uepū Māori,Ā-rōpū ahumahi,Ērā ahumahi katoa atu,Ngā uepū Māori,Tau,8100,2022
Ripanga 2,Tatauranga o ngā kaimahi - Uepū Māori,Ā-rōpū ahumahi,Tapeke,Ngā uepū Māori,Tau,11200,2017
Ripanga 2,Tatauranga o ngā kaimahi - Uepū Māori,Ā-rōpū ahumahi,Tapeke,Ngā uepū Māori,Tau,11400,2018
Ripanga 2,Tatauranga o ngā kaimahi - Uepū Māori,Ā-rōpū ahumahi,Tapeke,Ngā uepū Māori,Tau,12200,2019
Ripanga 2,Tatauranga o ngā kaimahi - Uepū Māori,Ā-rōpū ahumahi,Tapeke,Ngā uepū Māori,Tau,12500,2020
Ripanga 2,Tatauranga o ngā kaimahi - Uepū Māori,Ā-rōpū ahumahi,Tapeke,Ngā uepū Māori,Tau,10600,2022
Ripanga 2,Tatauranga o ngā kaimahi - Uepū Māori,Ā-rōpū ahumahi,Tapeke,Ngā uepū Māori,Tau,11800,2021
Ripanga 3,Tatauranga o ngā umanga - Ērā atu hinonga Māori me te tāpoi Māori,Ā-wehenga ahumahi,"Te ahuwhenua, te mahi ngahere, me te mahi hī ika",Ērā atu hinonga Māori,Tau,390,2017
Ripanga 3,Tatauranga o ngā umanga - Ērā atu hinonga Māori me te tāpoi Māori,Ā-wehenga ahumahi,"Te ahuwhenua, te mahi ngahere, me te mahi hī ika",Ērā atu hinonga Māori,Tau,414,2018
Ripanga 3,Tatauranga o ngā umanga - Ērā atu hinonga Māori me te tāpoi Māori,Ā-wehenga ahumahi,"Te ahuwhenua, te mahi ngahere, me te mahi hī ika",Ērā atu hinonga Māori,Tau,423,2019
Ripanga 3,Tatauranga o ngā umanga - Ērā atu hinonga Māori me te tāpoi Māori,Ā-wehenga ahumahi,"Te ahuwhenua, te mahi ngahere, me te mahi hī ika",Ērā atu hinonga Māori,Tau,441,2020
Ripanga 3,Tatauranga o ngā umanga - Ērā atu hinonga Māori me te tāpoi Māori,Ā-wehenga ahumahi,"Te ahuwhenua, te mahi ngahere, me te mahi hī ika",Ērā atu hinonga Māori,Tau,480,2021
Ripanga 3,Tatauranga o ngā umanga - Ērā atu hinonga Māori me te tāpoi Māori,Ā-wehenga ahumahi,"Te ahuwhenua, te mahi ngahere, me te mahi hī ika",Ērā atu hinonga Māori,Tau,519,2022
Ripanga 3,Tatauranga o ngā umanga - Ērā atu hinonga Māori me te tāpoi Māori,Ā-wehenga ahumahi,Te maina,Ērā atu hinonga Māori,Tau,S,2017
Ripanga 3,Tatauranga o ngā umanga - Ērā atu hinonga Māori me te tāpoi Māori,Ā-wehenga ahumahi,Te maina,Ērā atu hinonga Māori,Tau,S,2018
Ripanga 3,Tatauranga o ngā umanga - Ērā atu hinonga Māori me te tāpoi Māori,Ā-wehenga ahumahi,Te maina,Ērā atu hinonga Māori,Tau,S,2019
Ripanga 3,Tatauranga o ngā umanga - Ērā atu hinonga Māori me te tāpoi Māori,Ā-wehenga ahumahi,Te maina,Ērā atu hinonga Māori,Tau,S,2020
Ripanga 3,Tatauranga o ngā umanga - Ērā atu hinonga Māori me te tāpoi Māori,Ā-wehenga ahumahi,Te maina,Ērā atu hinonga Māori,Tau,S,2021
Ripanga 3,Tatauranga o ngā umanga - Ērā atu hinonga Māori me te tāpoi Māori,Ā-wehenga ahumahi,Te maina,Ērā atu hinonga Māori,Tau,S,2022
Ripanga 3,Tatauranga o ngā umanga - Ērā atu hinonga Māori me te tāpoi Māori,Ā-wehenga ahumahi,Te whakanao,Ērā atu hinonga Māori,Tau,96,2017
Ripanga 3,Tatauranga o ngā umanga - Ērā atu hinonga Māori me te tāpoi Māori,Ā-wehenga ahumahi,Te whakanao,Ērā atu hinonga Māori,Tau,93,2018
Ripanga 3,Tatauranga o ngā umanga - Ērā atu hinonga Māori me te tāpoi Māori,Ā-wehenga ahumahi,Te whakanao,Ērā atu hinonga Māori,Tau,99,2019
Ripanga 3,Tatauranga o ngā umanga - Ērā atu hinonga Māori me te tāpoi Māori,Ā-wehenga ahumahi,Te whakanao,Ērā atu hinonga Māori,Tau,102,2020
Ripanga 3,Tatauranga o ngā umanga - Ērā atu hinonga Māori me te tāpoi Māori,Ā-wehenga ahumahi,Te whakanao,Ērā atu hinonga Māori,Tau,111,2021
Ripanga 3,Tatauranga o ngā umanga - Ērā atu hinonga Māori me te tāpoi Māori,Ā-wehenga ahumahi,Te whakanao,Ērā atu hinonga Māori,Tau,108,2022
Ripanga 3,Tatauranga o ngā umanga - Ērā atu hinonga Māori me te tāpoi Māori,Ā-wehenga ahumahi,"Te hiko, haukapuni, wai, ratonga parahanga hoki",Ērā atu hinonga Māori,Tau,S,2017
Ripanga 3,Tatauranga o ngā umanga - Ērā atu hinonga Māori me te tāpoi Māori,Ā-wehenga ahumahi,"Te hiko, haukapuni, wai, ratonga parahanga hoki",Ērā atu hinonga Māori,Tau,S,2018
Ripanga 3,Tatauranga o ngā umanga - Ērā atu hinonga Māori me te tāpoi Māori,Ā-wehenga ahumahi,"Te hiko, haukapuni, wai, ratonga parahanga hoki",Ērā atu hinonga Māori,Tau,S,2019
Ripanga 3,Tatauranga o ngā umanga - Ērā atu hinonga Māori me te tāpoi Māori,Ā-wehenga ahumahi,"Te hiko, haukapuni, wai, ratonga parahanga hoki",Ērā atu hinonga Māori,Tau,S,2020
Ripanga 3,Tatauranga o ngā umanga - Ērā atu hinonga Māori me te tāpoi Māori,Ā-wehenga ahumahi,"Te hiko, haukapuni, wai, ratonga parahanga hoki",Ērā atu hinonga Māori,Tau,S,2021
Ripanga 3,Tatauranga o ngā umanga - Ērā atu hinonga Māori me te tāpoi Māori,Ā-wehenga ahumahi,"Te hiko, haukapuni, wai, ratonga parahanga hoki",Ērā atu hinonga Māori,Tau,S,2022
Ripanga 3,Tatauranga o ngā umanga - Ērā atu hinonga Māori me te tāpoi Māori,Ā-wehenga ahumahi,Te waihanga,Ērā atu hinonga Māori,Tau,123,2017
Ripanga 3,Tatauranga o ngā umanga - Ērā atu hinonga Māori me te tāpoi Māori,Ā-wehenga ahumahi,Te waihanga,Ērā atu hinonga Māori,Tau,132,2018
Ripanga 3,Tatauranga o ngā umanga - Ērā atu hinonga Māori me te tāpoi Māori,Ā-wehenga ahumahi,Te waihanga,Ērā atu hinonga Māori,Tau,147,2019
Ripanga 3,Tatauranga o ngā umanga - Ērā atu hinonga Māori me te tāpoi Māori,Ā-wehenga ahumahi,Te waihanga,Ērā atu hinonga Māori,Tau,156,2020
Ripanga 3,Tatauranga o ngā umanga - Ērā atu hinonga Māori me te tāpoi Māori,Ā-wehenga ahumahi,Te waihanga,Ērā atu hinonga Māori,Tau,186,2021
Ripanga 3,Tatauranga o ngā umanga - Ērā atu hinonga Māori me te tāpoi Māori,Ā-wehenga ahumahi,Te waihanga,Ērā atu hinonga Māori,Tau,201,2022
Ripanga 3,Tatauranga o ngā umanga - Ērā atu hinonga Māori me te tāpoi Māori,Ā-wehenga ahumahi,Te hokohoko ā-pakihi,Ērā atu hinonga Māori,Tau,45,2017
Ripanga 3,Tatauranga o ngā umanga - Ērā atu hinonga Māori me te tāpoi Māori,Ā-wehenga ahumahi,Te hokohoko ā-pakihi,Ērā atu hinonga Māori,Tau,42,2018
Ripanga 3,Tatauranga o ngā umanga - Ērā atu hinonga Māori me te tāpoi Māori,Ā-wehenga ahumahi,Te hokohoko ā-pakihi,Ērā atu hinonga Māori,Tau,42,2019
Ripanga 3,Tatauranga o ngā umanga - Ērā atu hinonga Māori me te tāpoi Māori,Ā-wehenga ahumahi,Te hokohoko ā-pakihi,Ērā atu hinonga Māori,Tau,48,2020
Ripanga 3,Tatauranga o ngā umanga - Ērā atu hinonga Māori me te tāpoi Māori,Ā-wehenga ahumahi,Te hokohoko ā-pakihi,Ērā atu hinonga Māori,Tau,54,2021
Ripanga 3,Tatauranga o ngā umanga - Ērā atu hinonga Māori me te tāpoi Māori,Ā-wehenga ahumahi,Te hokohoko ā-pakihi,Ērā atu hinonga Māori,Tau,54,2022
Ripanga 3,Tatauranga o ngā umanga - Ērā atu hinonga Māori me te tāpoi Māori,Ā-wehenga ahumahi,Te hokohoko ā-toa,Ērā atu hinonga Māori,Tau,42,2017
Ripanga 3,Tatauranga o ngā umanga - Ērā atu hinonga Māori me te tāpoi Māori,Ā-wehenga ahumahi,Te hokohoko ā-toa,Ērā atu hinonga Māori,Tau,42,2018
Ripanga 3,Tatauranga o ngā umanga - Ērā atu hinonga Māori me te tāpoi Māori,Ā-wehenga ahumahi,Te hokohoko ā-toa,Ērā atu hinonga Māori,Tau,48,2019
Ripanga 3,Tatauranga o ngā umanga - Ērā atu hinonga Māori me te tāpoi Māori,Ā-wehenga ahumahi,Te hokohoko ā-toa,Ērā atu hinonga Māori,Tau,51,2020
Ripanga 3,Tatauranga o ngā umanga - Ērā atu hinonga Māori me te tāpoi Māori,Ā-wehenga ahumahi,Te hokohoko ā-toa,Ērā atu hinonga Māori,Tau,48,2021
Ripanga 3,Tatauranga o ngā umanga - Ērā atu hinonga Māori me te tāpoi Māori,Ā-wehenga ahumahi,Te hokohoko ā-toa,Ērā atu hinonga Māori,Tau,54,2022
Ripanga 3,Tatauranga o ngā umanga - Ērā atu hinonga Māori me te tāpoi Māori,Ā-wehenga ahumahi,Ngā whare noho me ngā ratonga kai,Ērā atu hinonga Māori,Tau,54,2017
Ripanga 3,Tatauranga o ngā umanga - Ērā atu hinonga Māori me te tāpoi Māori,Ā-wehenga ahumahi,Ngā whare noho me ngā ratonga kai,Ērā atu hinonga Māori,Tau,51,2018
Ripanga 3,Tatauranga o ngā umanga - Ērā atu hinonga Māori me te tāpoi Māori,Ā-wehenga ahumahi,Ngā whare noho me ngā ratonga kai,Ērā atu hinonga Māori,Tau,51,2019
Ripanga 3,Tatauranga o ngā umanga - Ērā atu hinonga Māori me te tāpoi Māori,Ā-wehenga ahumahi,Ngā whare noho me ngā ratonga kai,Ērā atu hinonga Māori,Tau,51,2020
Ripanga 3,Tatauranga o ngā umanga - Ērā atu hinonga Māori me te tāpoi Māori,Ā-wehenga ahumahi,Ngā whare noho me ngā ratonga kai,Ērā atu hinonga Māori,Tau,60,2021
Ripanga 3,Tatauranga o ngā umanga - Ērā atu hinonga Māori me te tāpoi Māori,Ā-wehenga ahumahi,Ngā whare noho me ngā ratonga kai,Ērā atu hinonga Māori,Tau,60,2022
Ripanga 3,Tatauranga o ngā umanga - Ērā atu hinonga Māori me te tāpoi Māori,Ā-wehenga ahumahi,"Te ikiiki, te kawe mēra me ngā whare rokiroki rawa",Ērā atu hinonga Māori,Tau,36,2017
Ripanga 3,Tatauranga o ngā umanga - Ērā atu hinonga Māori me te tāpoi Māori,Ā-wehenga ahumahi,"Te ikiiki, te kawe mēra me ngā whare rokiroki rawa",Ērā atu hinonga Māori,Tau,33,2018
Ripanga 3,Tatauranga o ngā umanga - Ērā atu hinonga Māori me te tāpoi Māori,Ā-wehenga ahumahi,"Te ikiiki, te kawe mēra me ngā whare rokiroki rawa",Ērā atu hinonga Māori,Tau,42,2019
Ripanga 3,Tatauranga o ngā umanga - Ērā atu hinonga Māori me te tāpoi Māori,Ā-wehenga ahumahi,"Te ikiiki, te kawe mēra me ngā whare rokiroki rawa",Ērā atu hinonga Māori,Tau,42,2020
Ripanga 3,Tatauranga o ngā umanga - Ērā atu hinonga Māori me te tāpoi Māori,Ā-wehenga ahumahi,"Te ikiiki, te kawe mēra me ngā whare rokiroki rawa",Ērā atu hinonga Māori,Tau,45,2021
Ripanga 3,Tatauranga o ngā umanga - Ērā atu hinonga Māori me te tāpoi Māori,Ā-wehenga ahumahi,"Te ikiiki, te kawe mēra me ngā whare rokiroki rawa",Ērā atu hinonga Māori,Tau,42,2022
Ripanga 3,Tatauranga o ngā umanga - Ērā atu hinonga Māori me te tāpoi Māori,Ā-wehenga ahumahi,Ngā pāpāho whakamōhio me te whakawhiti pārongo,Ērā atu hinonga Māori,Tau,72,2017
Ripanga 3,Tatauranga o ngā umanga - Ērā atu hinonga Māori me te tāpoi Māori,Ā-wehenga ahumahi,Ngā pāpāho whakamōhio me te whakawhiti pārongo,Ērā atu hinonga Māori,Tau,78,2018
Ripanga 3,Tatauranga o ngā umanga - Ērā atu hinonga Māori me te tāpoi Māori,Ā-wehenga ahumahi,Ngā pāpāho whakamōhio me te whakawhiti pārongo,Ērā atu hinonga Māori,Tau,81,2019
Ripanga 3,Tatauranga o ngā umanga - Ērā atu hinonga Māori me te tāpoi Māori,Ā-wehenga ahumahi,Ngā pāpāho whakamōhio me te whakawhiti pārongo,Ērā atu hinonga Māori,Tau,81,2020
Ripanga 3,Tatauranga o ngā umanga - Ērā atu hinonga Māori me te tāpoi Māori,Ā-wehenga ahumahi,Ngā pāpāho whakamōhio me te whakawhiti pārongo,Ērā atu hinonga Māori,Tau,84,2021
Ripanga 3,Tatauranga o ngā umanga - Ērā atu hinonga Māori me te tāpoi Māori,Ā-wehenga ahumahi,Ngā pāpāho whakamōhio me te whakawhiti pārongo,Ērā atu hinonga Māori,Tau,87,2022
Ripanga 3,Tatauranga o ngā umanga - Ērā atu hinonga Māori me te tāpoi Māori,Ā-wehenga ahumahi,"Ngā ratonga ahumoni, inihua hoki",Ērā atu hinonga Māori,Tau,39,2017
Ripanga 3,Tatauranga o ngā umanga - Ērā atu hinonga Māori me te tāpoi Māori,Ā-wehenga ahumahi,"Ngā ratonga ahumoni, inihua hoki",Ērā atu hinonga Māori,Tau,39,2018
Ripanga 3,Tatauranga o ngā umanga - Ērā atu hinonga Māori me te tāpoi Māori,Ā-wehenga ahumahi,"Ngā ratonga ahumoni, inihua hoki",Ērā atu hinonga Māori,Tau,45,2019
Ripanga 3,Tatauranga o ngā umanga - Ērā atu hinonga Māori me te tāpoi Māori,Ā-wehenga ahumahi,"Ngā ratonga ahumoni, inihua hoki",Ērā atu hinonga Māori,Tau,48,2020
Ripanga 3,Tatauranga o ngā umanga - Ērā atu hinonga Māori me te tāpoi Māori,Ā-wehenga ahumahi,"Ngā ratonga ahumoni, inihua hoki",Ērā atu hinonga Māori,Tau,51,2021
Ripanga 3,Tatauranga o ngā umanga - Ērā atu hinonga Māori me te tāpoi Māori,Ā-wehenga ahumahi,"Ngā ratonga ahumoni, inihua hoki",Ērā atu hinonga Māori,Tau,54,2022
Ripanga 3,Tatauranga o ngā umanga - Ērā atu hinonga Māori me te tāpoi Māori,Ā-wehenga ahumahi,"Ngā ratonga reti whare, reti taputapu, hoko whare, whenua hoki",Ērā atu hinonga Māori,Tau,48,2017
Ripanga 3,Tatauranga o ngā umanga - Ērā atu hinonga Māori me te tāpoi Māori,Ā-wehenga ahumahi,"Ngā ratonga reti whare, reti taputapu, hoko whare, whenua hoki",Ērā atu hinonga Māori,Tau,54,2018
Ripanga 3,Tatauranga o ngā umanga - Ērā atu hinonga Māori me te tāpoi Māori,Ā-wehenga ahumahi,"Ngā ratonga reti whare, reti taputapu, hoko whare, whenua hoki",Ērā atu hinonga Māori,Tau,57,2019
Ripanga 3,Tatauranga o ngā umanga - Ērā atu hinonga Māori me te tāpoi Māori,Ā-wehenga ahumahi,"Ngā ratonga reti whare, reti taputapu, hoko whare, whenua hoki",Ērā atu hinonga Māori,Tau,63,2020
Ripanga 3,Tatauranga o ngā umanga - Ērā atu hinonga Māori me te tāpoi Māori,Ā-wehenga ahumahi,"Ngā ratonga reti whare, reti taputapu, hoko whare, whenua hoki",Ērā atu hinonga Māori,Tau,60,2021
Ripanga 3,Tatauranga o ngā umanga - Ērā atu hinonga Māori me te tāpoi Māori,Ā-wehenga ahumahi,"Ngā ratonga reti whare, reti taputapu, hoko whare, whenua hoki",Ērā atu hinonga Māori,Tau,66,2022
Ripanga 3,Tatauranga o ngā umanga - Ērā atu hinonga Māori me te tāpoi Māori,Ā-wehenga ahumahi,"Ngā ratonga ngaio, pūtaiao, hangarau hoki",Ērā atu hinonga Māori,Tau,309,2017
Ripanga 3,Tatauranga o ngā umanga - Ērā atu hinonga Māori me te tāpoi Māori,Ā-wehenga ahumahi,"Ngā ratonga ngaio, pūtaiao, hangarau hoki",Ērā atu hinonga Māori,Tau,330,2018
Ripanga 3,Tatauranga o ngā umanga - Ērā atu hinonga Māori me te tāpoi Māori,Ā-wehenga ahumahi,"Ngā ratonga ngaio, pūtaiao, hangarau hoki",Ērā atu hinonga Māori,Tau,372,2019
Ripanga 3,Tatauranga o ngā umanga - Ērā atu hinonga Māori me te tāpoi Māori,Ā-wehenga ahumahi,"Ngā ratonga ngaio, pūtaiao, hangarau hoki",Ērā atu hinonga Māori,Tau,411,2020
Ripanga 3,Tatauranga o ngā umanga - Ērā atu hinonga Māori me te tāpoi Māori,Ā-wehenga ahumahi,"Ngā ratonga ngaio, pūtaiao, hangarau hoki",Ērā atu hinonga Māori,Tau,438,2021
Ripanga 3,Tatauranga o ngā umanga - Ērā atu hinonga Māori me te tāpoi Māori,Ā-wehenga ahumahi,"Ngā ratonga ngaio, pūtaiao, hangarau hoki",Ērā atu hinonga Māori,Tau,480,2022
Ripanga 3,Tatauranga o ngā umanga - Ērā atu hinonga Māori me te tāpoi Māori,Ā-wehenga ahumahi,"Ngā ratonga whakahaere, tautoko hoki",Ērā atu hinonga Māori,Tau,93,2017
Ripanga 3,Tatauranga o ngā umanga - Ērā atu hinonga Māori me te tāpoi Māori,Ā-wehenga ahumahi,"Ngā ratonga whakahaere, tautoko hoki",Ērā atu hinonga Māori,Tau,90,2018
Ripanga 3,Tatauranga o ngā umanga - Ērā atu hinonga Māori me te tāpoi Māori,Ā-wehenga ahumahi,"Ngā ratonga whakahaere, tautoko hoki",Ērā atu hinonga Māori,Tau,99,2019
Ripanga 3,Tatauranga o ngā umanga - Ērā atu hinonga Māori me te tāpoi Māori,Ā-wehenga ahumahi,"Ngā ratonga whakahaere, tautoko hoki",Ērā atu hinonga Māori,Tau,108,2020
Ripanga 3,Tatauranga o ngā umanga - Ērā atu hinonga Māori me te tāpoi Māori,Ā-wehenga ahumahi,"Ngā ratonga whakahaere, tautoko hoki",Ērā atu hinonga Māori,Tau,120,2021
Ripanga 3,Tatauranga o ngā umanga - Ērā atu hinonga Māori me te tāpoi Māori,Ā-wehenga ahumahi,"Ngā ratonga whakahaere, tautoko hoki",Ērā atu hinonga Māori,Tau,129,2022
Ripanga 3,Tatauranga o ngā umanga - Ērā atu hinonga Māori me te tāpoi Māori,Ā-wehenga ahumahi,Te whakahaere me te haumaru tūmatanui,Ērā atu hinonga Māori,Tau,9,2017
Ripanga 3,Tatauranga o ngā umanga - Ērā atu hinonga Māori me te tāpoi Māori,Ā-wehenga ahumahi,Te whakahaere me te haumaru tūmatanui,Ērā atu hinonga Māori,Tau,9,2018
Ripanga 3,Tatauranga o ngā umanga - Ērā atu hinonga Māori me te tāpoi Māori,Ā-wehenga ahumahi,Te whakahaere me te haumaru tūmatanui,Ērā atu hinonga Māori,Tau,9,2019
