Table_Number,Table_name,Table_sub_name,Breakdown,Section,Units,Value,Time_Period
Table 2,Count of employees - Maori authorities,By industry group,Non-residential property operators,Maori authorities,Count,330,2018
Table 2,Count of employees - Maori authorities,By industry group,Non-residential property operators,Maori authorities,Count,350,2019
Table 2,Count of employees - Maori authorities,By industry group,Non-residential property operators,Maori authorities,Count,380,2020
Table 2,Count of employees - Maori authorities,By industry group,Non-residential property operators,Maori authorities,Count,490,2021
Table 2,Count of employees - Maori authorities,By industry group,Non-residential property operators,Maori authorities,Count,470,2022
Table 2,Count of employees - Maori authorities,By industry group,All other industries,Maori authorities,Count,8100,2017
Table 2,Count of employees - Maori authorities,By industry group,All other industries,Maori authorities,Count,8300,2018
Table 2,Count of employees - Maori authorities,By industry group,All other industries,Maori authorities,Count,8600,2019
Table 2,Count of employees - Maori authorities,By industry group,All other industries,Maori authorities,Count,8900,2020
Table 2,Count of employees - Maori authorities,By industry group,All other industries,Maori authorities,Count,7000,2021
Table 2,Count of employees - Maori authorities,By industry group,All other industries,Maori authorities,Count,8100,2022
Table 2,Count of employees - Maori authorities,By industry group,Total,Maori authorities,Count,11200,2017
Table 2,Count of employees - Maori authorities,By industry group,Total,Maori authorities,Count,11400,2018
Table 2,Count of employees - Maori authorities,By industry group,Total,Maori authorities,Count,12200,2019
Table 2,Count of employees - Maori authorities,By industry group,Total,Maori authorities,Count,12500,2020
Table 2,Count of employees - Maori authorities,By industry group,Total,Maori authorities,Count,10600,2022
Table 2,Count of employees - Maori authorities,By industry group,Total,Maori authorities,Count,11800,2021
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,"Agriculture, forestry, and fishing",Other Maori enterprises,Counts,390,2017
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,"Agriculture, forestry, and fishing",Other Maori enterprises,Counts,414,2018
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,"Agriculture, forestry, and fishing",Other Maori enterprises,Counts,423,2019
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,"Agriculture, forestry, and fishing",Other Maori enterprises,Counts,441,2020
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,"Agriculture, forestry, and fishing",Other Maori enterprises,Counts,480,2021
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,"Agriculture, forestry, and fishing",Other Maori enterprises,Counts,519,2022
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,Mining,Other Maori enterprises,Counts,S,2017
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,Mining,Other Maori enterprises,Counts,S,2018
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,Mining,Other Maori enterprises,Counts,S,2019
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,Mining,Other Maori enterprises,Counts,S,2020
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,Mining,Other Maori enterprises,Counts,S,2021
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,Mining,Other Maori enterprises,Counts,S,2022
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,Manufacturing,Other Maori enterprises,Counts,96,2017
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,Manufacturing,Other Maori enterprises,Counts,93,2018
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,Manufacturing,Other Maori enterprises,Counts,99,2019
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,Manufacturing,Other Maori enterprises,Counts,102,2020
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,Manufacturing,Other Maori enterprises,Counts,111,2021
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,Manufacturing,Other Maori enterprises,Counts,108,2022
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,"Electricity, gas, water, and waste services",Other Maori enterprises,Counts,S,2017
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,"Electricity, gas, water, and waste services",Other Maori enterprises,Counts,S,2018
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,"Electricity, gas, water, and waste services",Other Maori enterprises,Counts,S,2019
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,"Electricity, gas, water, and waste services",Other Maori enterprises,Counts,S,2020
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,"Electricity, gas, water, and waste services",Other Maori enterprises,Counts,S,2021
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,"Electricity, gas, water, and waste services",Other Maori enterprises,Counts,S,2022
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,Construction,Other Maori enterprises,Counts,123,2017
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,Construction,Other Maori enterprises,Counts,132,2018
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,Construction,Other Maori enterprises,Counts,147,2019
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,Construction,Other Maori enterprises,Counts,156,2020
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,Construction,Other Maori enterprises,Counts,186,2021
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,Construction,Other Maori enterprises,Counts,201,2022
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,Wholesale trade,Other Maori enterprises,Counts,45,2017
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,Wholesale trade,Other Maori enterprises,Counts,42,2018
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,Wholesale trade,Other Maori enterprises,Counts,42,2019
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,Wholesale trade,Other Maori enterprises,Counts,48,2020
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,Wholesale trade,Other Maori enterprises,Counts,54,2021
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,Wholesale trade,Other Maori enterprises,Counts,54,2022
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,Retail trade,Other Maori enterprises,Counts,42,2017
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,Retail trade,Other Maori enterprises,Counts,42,2018
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,Retail trade,Other Maori enterprises,Counts,48,2019
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,Retail trade,Other Maori enterprises,Counts,51,2020
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,Retail trade,Other Maori enterprises,Counts,48,2021
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,Retail trade,Other Maori enterprises,Counts,54,2022
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,Accommodation and food services,Other Maori enterprises,Counts,54,2017
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,Accommodation and food services,Other Maori enterprises,Counts,51,2018
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,Accommodation and food services,Other Maori enterprises,Counts,51,2019
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,Accommodation and food services,Other Maori enterprises,Counts,51,2020
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,Accommodation and food services,Other Maori enterprises,Counts,60,2021
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,Accommodation and food services,Other Maori enterprises,Counts,60,2022
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,"Transport, postal, and warehousing",Other Maori enterprises,Counts,36,2017
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,"Transport, postal, and warehousing",Other Maori enterprises,Counts,33,2018
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,"Transport, postal, and warehousing",Other Maori enterprises,Counts,42,2019
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,"Transport, postal, and warehousing",Other Maori enterprises,Counts,42,2020
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,"Transport, postal, and warehousing",Other Maori enterprises,Counts,45,2021
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,"Transport, postal, and warehousing",Other Maori enterprises,Counts,42,2022
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,Information media and telecommunications,Other Maori enterprises,Counts,72,2017
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,Information media and telecommunications,Other Maori enterprises,Counts,78,2018
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,Information media and telecommunications,Other Maori enterprises,Counts,81,2019
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,Information media and telecommunications,Other Maori enterprises,Counts,81,2020
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,Information media and telecommunications,Other Maori enterprises,Counts,84,2021
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,Information media and telecommunications,Other Maori enterprises,Counts,87,2022
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,Financial and insurance services,Other Maori enterprises,Counts,39,2017
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,Financial and insurance services,Other Maori enterprises,Counts,39,2018
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,Financial and insurance services,Other Maori enterprises,Counts,45,2019
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,Financial and insurance services,Other Maori enterprises,Counts,48,2020
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,Financial and insurance services,Other Maori enterprises,Counts,51,2021
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,Financial and insurance services,Other Maori enterprises,Counts,54,2022
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,"Rental, hiring, and real estate services",Other Maori enterprises,Counts,48,2017
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,"Rental, hiring, and real estate services",Other Maori enterprises,Counts,54,2018
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,"Rental, hiring, and real estate services",Other Maori enterprises,Counts,57,2019
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,"Rental, hiring, and real estate services",Other Maori enterprises,Counts,63,2020
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,"Rental, hiring, and real estate services",Other Maori enterprises,Counts,60,2021
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,"Rental, hiring, and real estate services",Other Maori enterprises,Counts,66,2022
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,"Professional, scientific, and technical services",Other Maori enterprises,Counts,309,2017
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,"Professional, scientific, and technical services",Other Maori enterprises,Counts,330,2018
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,"Professional, scientific, and technical services",Other Maori enterprises,Counts,372,2019
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,"Professional, scientific, and technical services",Other Maori enterprises,Counts,411,2020
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,"Professional, scientific, and technical services",Other Maori enterprises,Counts,438,2021
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,"Professional, scientific, and technical services",Other Maori enterprises,Counts,480,2022
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,Administrative and support services,Other Maori enterprises,Counts,93,2017
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,Administrative and support services,Other Maori enterprises,Counts,90,2018
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,Administrative and support services,Other Maori enterprises,Counts,99,2019
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,Administrative and support services,Other Maori enterprises,Counts,108,2020
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,Administrative and support services,Other Maori enterprises,Counts,120,2021
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,Administrative and support services,Other Maori enterprises,Counts,129,2022
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,Public administration and safety,Other Maori enterprises,Counts,9,2017
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,Public administration and safety,Other Maori enterprises,Counts,9,2018
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,Public administration and safety,Other Maori enterprises,Counts,9,2019
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,Public administration and safety,Other Maori enterprises,Counts,9,2020
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,Public administration and safety,Other Maori enterprises,Counts,12,2021
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,Public administration and safety,Other Maori enterprises,Counts,15,2022
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,Education and training,Other Maori enterprises,Counts,87,2017
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,Education and training,Other Maori enterprises,Counts,99,2018
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,Education and training,Other Maori enterprises,Counts,117,2019
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,Education and training,Other Maori enterprises,Counts,141,2020
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,Education and training,Other Maori enterprises,Counts,153,2021
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,Education and training,Other Maori enterprises,Counts,174,2022
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,Health care and social assistance,Other Maori enterprises,Counts,201,2017
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,Health care and social assistance,Other Maori enterprises,Counts,207,2018
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,Health care and social assistance,Other Maori enterprises,Counts,210,2019
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,Health care and social assistance,Other Maori enterprises,Counts,222,2020
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,Health care and social assistance,Other Maori enterprises,Counts,234,2021
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,Health care and social assistance,Other Maori enterprises,Counts,252,2022
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,Arts and recreational services,Other Maori enterprises,Counts,90,2017
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,Arts and recreational services,Other Maori enterprises,Counts,93,2018
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,Arts and recreational services,Other Maori enterprises,Counts,96,2019
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,Arts and recreational services,Other Maori enterprises,Counts,99,2020
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,Arts and recreational services,Other Maori enterprises,Counts,105,2021
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,Arts and recreational services,Other Maori enterprises,Counts,108,2022
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,Other services,Other Maori enterprises,Counts,153,2017
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,Other services,Other Maori enterprises,Counts,162,2018
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,Other services,Other Maori enterprises,Counts,168,2019
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,Other services,Other Maori enterprises,Counts,174,2020
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,Other services,Other Maori enterprises,Counts,192,2021
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,Other services,Other Maori enterprises,Counts,207,2022
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,Total,Other Maori enterprises,Counts,1884,2017
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,Total,Other Maori enterprises,Counts,1971,2018
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,Total,Other Maori enterprises,Counts,2118,2019
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,Total,Other Maori enterprises,Counts,2256,2020
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,Total,Other Maori enterprises,Counts,2442,2021
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,Total,Other Maori enterprises,Counts,2628,2022
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,Accommodation and food services,Maori tourism,Counts,69,2017
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,Accommodation and food services,Maori tourism,Counts,69,2018
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,Accommodation and food services,Maori tourism,Counts,69,2019
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,Accommodation and food services,Maori tourism,Counts,69,2020
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,Accommodation and food services,Maori tourism,Counts,75,2021
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,Accommodation and food services,Maori tourism,Counts,81,2022
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,"Transport, postal, and warehousing",Maori tourism,Counts,30,2017
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,"Transport, postal, and warehousing",Maori tourism,Counts,24,2018
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,"Transport, postal, and warehousing",Maori tourism,Counts,30,2019
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,"Transport, postal, and warehousing",Maori tourism,Counts,30,2020
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,"Transport, postal, and warehousing",Maori tourism,Counts,27,2021
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,"Transport, postal, and warehousing",Maori tourism,Counts,30,2022
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,Administrative and support services,Maori tourism,Counts,24,2017
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,Administrative and support services,Maori tourism,Counts,24,2018
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,Administrative and support services,Maori tourism,Counts,24,2019
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,Administrative and support services,Maori tourism,Counts,24,2020
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,Administrative and support services,Maori tourism,Counts,21,2021
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,Administrative and support services,Maori tourism,Counts,24,2022
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,Arts and recreational services,Maori tourism,Counts,105,2017
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,Arts and recreational services,Maori tourism,Counts,105,2018
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,Arts and recreational services,Maori tourism,Counts,108,2019
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,Arts and recreational services,Maori tourism,Counts,114,2020
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,Arts and recreational services,Maori tourism,Counts,117,2021
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,Arts and recreational services,Maori tourism,Counts,123,2022
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,All other industries,Maori tourism,Counts,36,2017
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,All other industries,Maori tourism,Counts,36,2018
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,All other industries,Maori tourism,Counts,36,2019
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,All other industries,Maori tourism,Counts,36,2020
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,All other industries,Maori tourism,Counts,27,2021
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,All other industries,Maori tourism,Counts,27,2022
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,Total,Maori tourism,Counts,261,2017
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,Total,Maori tourism,Counts,261,2018
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,Total,Maori tourism,Counts,270,2019
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,Total,Maori tourism,Counts,273,2020
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,Total,Maori tourism,Counts,273,2021
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry group,Total,Maori tourism,Counts,282,2022
Table 4,Count of employees - Other Maori enterprises and Maori tourism,By industry group,"Agriculture, forestry, and fishing",Other Maori enterprises,Count,1950,2017
Table 4,Count of employees - Other Maori enterprises and Maori tourism,By industry group,"Agriculture, forestry, and fishing",Other Maori enterprises,Count,2200,2018
Table 4,Count of employees - Other Maori enterprises and Maori tourism,By industry group,"Agriculture, forestry, and fishing",Other Maori enterprises,Count,2450,2019
Table 4,Count of employees - Other Maori enterprises and Maori tourism,By industry group,"Agriculture, forestry, and fishing",Other Maori enterprises,Count,2550,2020
Table 4,Count of employees - Other Maori enterprises and Maori tourism,By industry group,"Agriculture, forestry, and fishing",Other Maori enterprises,Count,2500,2021
Table 4,Count of employees - Other Maori enterprises and Maori tourism,By industry group,"Agriculture, forestry, and fishing",Other Maori enterprises,Count,2600,2022
Table 4,Count of employees - Other Maori enterprises and Maori tourism,By industry group,Mining,Other Maori enterprises,Count,S,2017
Table 4,Count of employees - Other Maori enterprises and Maori tourism,By industry group,Mining,Other Maori enterprises,Count,S,2018
Table 4,Count of employees - Other Maori enterprises and Maori tourism,By industry group,Mining,Other Maori enterprises,Count,S,2019
Table 4,Count of employees - Other Maori enterprises and Maori tourism,By industry group,Mining,Other Maori enterprises,Count,S,2020
Table 4,Count of employees - Other Maori enterprises and Maori tourism,By industry group,Mining,Other Maori enterprises,Count,S,2021
Table 4,Count of employees - Other Maori enterprises and Maori tourism,By industry group,Mining,Other Maori enterprises,Count,S,2022
Table 4,Count of employees - Other Maori enterprises and Maori tourism,By industry group,Manufacturing,Other Maori enterprises,Count,990,2017
Table 4,Count of employees - Other Maori enterprises and Maori tourism,By industry group,Manufacturing,Other Maori enterprises,Count,1150,2018
Table 4,Count of employees - Other Maori enterprises and Maori tourism,By industry group,Manufacturing,Other Maori enterprises,Count,1200,2019
Table 4,Count of employees - Other Maori enterprises and Maori tourism,By industry group,Manufacturing,Other Maori enterprises,Count,1400,2020
Table 4,Count of employees - Other Maori enterprises and Maori tourism,By industry group,Manufacturing,Other Maori enterprises,Count,1550,2021
Table 4,Count of employees - Other Maori enterprises and Maori tourism,By industry group,Manufacturing,Other Maori enterprises,Count,1450,2022
Table 4,Count of employees - Other Maori enterprises and Maori tourism,By industry group,"Electricity, gas, water, and waste services",Other Maori enterprises,Count,S,2017
Table 4,Count of employees - Other Maori enterprises and Maori tourism,By industry group,"Electricity, gas, water, and waste services",Other Maori enterprises,Count,S,2018
Table 4,Count of employees - Other Maori enterprises and Maori tourism,By industry group,"Electricity, gas, water, and waste services",Other Maori enterprises,Count,S,2019
Table 4,Count of employees - Other Maori enterprises and Maori tourism,By industry group,"Electricity, gas, water, and waste services",Other Maori enterprises,Count,S,2020
Table 4,Count of employees - Other Maori enterprises and Maori tourism,By industry group,"Electricity, gas, water, and waste services",Other Maori enterprises,Count,S,2021
